_id,EVENT_UNIQUE_ID,OCCURRENCE_YEAR,OCCURRENCE_DATE,OCCURRENCE_TIME,REPORTED_YEAR,REPORTED_DATE,REPORTED_TIME,DIVISION,LOCATION_TYPE,AGE_BIAS,MENTAL_OR_PHYSICAL_DISABILITY,RACE_BIAS,ETHNICITY_BIAS,LANGUAGE_BIAS,RELIGION_BIAS,SEXUAL_ORIENTATION_BIAS,GENDER_BIAS,MULTIPLE_BIAS,PRIMARY_OFFENCE,HOOD_158,NEIGHBOURHOOD_158,HOOD_140,NEIGHBOURHOOD_140,ARREST_MADE
1,GO-201826213,2018,2018-01-03,1200,2018,2018-01-05,1321,D13,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,NO,Wilful Promotion of Hatred,102,Forest Hill North (102),102,Forest Hill North (102),NO
2,GO-201846652,2018,2018-01-08,1757,2018,2018-01-08,1757,D53,NA,NO,NO,None,None,None,Muslim,None,None,NO,Assault,099,Mount Pleasant East (99),099,Mount Pleasant East (99),YES
3,GO-201861664,2018,2018-01-10,2145,2018,2018-01-10,2146,D14,Public Transportation,NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,095,Annex (95),095,Annex (95),NO
4,GO-2018119145,2018,2018-01-19,2021,2018,2018-01-19,2021,D12,Streets/Roadways/Highway,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,028,Rustic (28),028,Rustic (28),NO
5,GO-2018119799,2018,2018-01-19,1800,2018,2018-01-20,55,D52,Public Transportation,NO,NO,None,None,None,Muslim,None,None,NO,Assault,169,Bay-Cloverhill (169),076,Bay Street Corridor (76),NO
6,GO-2018174949,2018,2018-01-26,1800,2018,2018-01-28,1326,D31,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO
7,GO-2018168427,2018,2018-01-27,1158,2018,2018-01-27,1158,D51,"Government Building (Courthouse, Museums, Parliament Building, etc.)",NO,NO,Black,None,None,None,None,None,NO,Mischief Under $5000,073,Moss Park (73),073,Moss Park (73),NO
8,GO-2018200362,2018,2018-02-01,1000,2018,2018-02-01,1035,D13,Business/Retail,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,102,Forest Hill North (102),102,Forest Hill North (102),NO
9,GO-2018198293,2018,2018-02-01,127,2018,2018-02-01,127,D12,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,None,2SLGBTQ+,None,NO,Mischief Under $5000,113,Weston (113),113,Weston (113),NO
10,GO-2018233724,2018,2018-02-02,900,2018,2018-02-09,939,D52,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,None,None,None,Muslim,None,None,NO,Mischief Under $5000,079,University (79),079,University (79),NO
11,GO-2018276837,2018,2018-02-05,1257,2018,2018-02-13,941,D43,"Educational Institution (Universities, Colleges, Schools, etc.)",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,134,Highland Creek (134),134,Highland Creek (134),NO
12,GO-2018274742,2018,2018-02-12,2140,2018,2018-02-12,2239,D51,Public Transportation,NO,NO,None,None,None,None,Gay,None,NO,Assault,168,Downtown Yonge East (168),075,Church-Yonge Corridor (75),NO
13,GO-2018247956,2018,2018-02-13,600,2018,2018-02-13,843,NSA,"Open Area, Park or Parking Lot",NO,NO,Black,None,None,Jewish,None,None,YES,Mischief Under $5000,NSA,NSA,NSA,NSA,NO
14,GO-2018299281,2018,2018-02-16,1300,2018,2018-02-16,1357,D53,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,NO,Uttering Threats - Bodily Harm,100,Yonge-Eglinton (100),100,Yonge-Eglinton (100),NO
15,GO-2018307464,2018,2018-02-17,1755,2018,2018-02-17,2006,D22,Government Building,NO,NO,None,None,None,None,None,Transgender Woman (Identifies As Woman),NO,Assault,160,Mimico-Queensway (160),017,Mimico (includes Humber Bay Shores) (17),NO
16,GO-2018325954,2018,2018-02-20,2136,2018,2018-02-20,2136,D52,Other Commercial / Corporate Places ,NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,078,Kensington-Chinatown (78),078,Kensington-Chinatown (78),NO
17,GO-2018338673,2018,2018-02-21,900,2018,2018-02-22,2039,D55,"Apartment Building (Condo, Retirement Buidling, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,058,Old East York (58),058,Old East York (58),NO
18,GO-2018338398,2018,2018-02-22,500,2018,2018-02-22,1751,D31,"Medical Facility (Hospitals, Long-term Care, etc.)",NO,NO,None,None,None,Jewish,None,None,NO,Mischief Under $5000,154,Oakdale-Beverley Heights (154),026,Downsview-Roding-CFB (26),NO
